time,x,der(x),der(der(x)),F_in,k,c,m
1.930000000000001,0.1805825274839453,-0.4376880950205368,0.2571055675365915,0,0,0,0
1.940000000000002,0.1762184044434177,-0.4351077369333428,0.258889332489925,0,0,0,0
1.950000000000002,0.1718801725627022,-0.4325097593790808,0.2606295868163785,0,0,0,0
1.960000000000002,0.1675680058868005,-0.4298945961968925,0.262326590310092,0,0,0,0
1.970000000000002,0.1632820741352129,-0.4272626786190041,0.2639806044837912,0,0,0,0
1.980000000000002,0.159022542728092,-0.4246144352537534,0.2655918925256614,0,0,0,0
1.990000000000002,0.1547895728125633,-0.421950292069054,0.2671607192564907,0,0,0,0
2.000000000000001,0.1505833212892099,-0.4192706723762798,0.2686873510870699,0,0,0,0
2.010000000000001,0.1464039408387155,-0.4165759968145792,0.2701720559758637,0,0,0,0
2.020000000000001,0.1422515799486632,-0.4138666833356083,0.2716151033869451,0,0,0,0
2.030000000000001,0.1381263829404839,-0.4111431471886858,0.2730167642482019,0,0,0,0
2.04,0.1340284899965509,-0.4084058009063632,0.2743773109098123,0,0,0,0
2.05,0.1299580371874188,-0.4056550542904078,0.2756970171029889,0,0,0,0
2.06,0.1259151564991973,-0.4028913143981991,0.2769761578990018,0,0,0,0
2.07,0.121899975861062,-0.4001149855295332,0.2782150096684712,0,0,0,0
2.08,0.117912619172893,-0.3973264692138319,0.2794138500409388,0,0,0,0
2.089999999999999,0.113953206333041,-0.3945261641977538,0.2805729578647128,0,0,0,0
2.099999999999999,0.1100218532662142,-0.3917144664332102,0.281692613166996,0,0,0,0
2.109999999999999,0.1061186719514834,-0.3888917690657723,0.2827730971142889,0,0,0,0
2.119999999999999,0.1022437704504018,-0.3860584624234774,0.2838146919730756,0,0,0,0
2.129999999999999,0.0983972529352331,-0.3832149340060249,0.2848176810707918,0,0,0,0
2.139999999999998,0.09457921971728761,-0.3803615684743618,0.2857823487570742,0,0,0,0
2.149999999999998,0.09078976727535944,-0.3774987476406535,0.2867089803652941,0,0,0,0
2.159999999999998,0.08702898828426227,-0.3746268504586395,0.2875978621743772,0,0,0,0
2.169999999999998,0.08329697164345998,-0.3717462530143685,0.2884492813709085,0,0,0,0
2.179999999999997,0.07959380250578776,-0.3688573285173099,0.2892635260115222,0,0,0,0
2.189999999999997,0.07591956230626042,-0.3659604472918427,0.2900408849855823,0,0,0,0
2.199999999999997,0.07227432879096367,-0.3630559767691138,0.2907816479781501,0,0,0,0
2.209999999999997,0.06865817604602564,-0.3601442814792656,0.2914861054332399,0,0,0,0
2.219999999999997,0.06507117452666344,-0.3572257230440312,0.2921545485173677,0,0,0,0
2.229999999999996,0.0615133910863027,-0.3543006601696911,0.2927872690833884,0,0,0,0
2.239999999999996,0.05798488900576541,-0.3513694486403899,0.2933845596346245,0,0,0,0
2.249999999999996,0.0544857280225229,-0.3484324413118116,0.2939467132892887,0,0,0,0
2.259999999999996,0.0510159643600102,-0.3454899881052085,0.2944740237451983,0,0,0,0
2.269999999999996,0.04757565075699859,-0.3425424360017817,0.2949667852447831,0,0,0,0
2.279999999999995,0.04416483649702239,-0.3395901290374083,0.2954252925403859,0,0,0,0
2.289999999999995,0.04078356743785694,-0.3366334082977188,0.2958498408598618,0,0,0,0
2.299999999999995,0.03743188604104404,-0.3336726119135109,0.2962407258724669,0,0,0,0
2.309999999999995,0.03410983140146151,-0.3307080750565086,0.2965982436550471,0,0,0,0
2.319999999999995,0.03081743927693358,-0.327740129935453,0.2969226906585194,0,0,0,0
2.329999999999994,0.0275547421178787,-0.3247691057925319,0.2972143636746532,0,0,0,0
2.339999999999994,0.02432176909699132,-0.321795328900135,0.2974735598031437,0,0,0,0
2.349999999999994,0.02111854613895463,-0.3188191225579411,0.2977005764189865,0,0,0,0
2.359999999999994,0.01794509595018079,-0.315840807090327,0.2978957111401462,0,0,0,0
2.369999999999993,0.01480143804857538,-0.3128606998441012,0.2980592617955258,0,0,0,0
2.379999999999993,0.01168758879332302,-0.3098791151865531,0.2981915263932301,0,0,0,0
2.389999999999993,0.008603561414690902,-0.3068963645038216,0.2982928030891308,0,0,0,0
2.399999999999993,0.005549366043847114,-0.3039127561995727,0.2983633901557256,0,0,0,0
2.409999999999993,0.002525009742690569,-0.3009285956939911,0.2984035859513005,0,0,0,0
2.419999999999992,-0.0004695034663103752,-0.2979441854230758,0.2984136888893861,0,0,0,0
2.429999999999992,-0.003434172570273874,-0.2949598248382401,0.298393997408514,0,0,0,0
2.439999999999992,-0.006368999536057985,-0.2919758104062145,0.2983448099422725,0,0,0,0
2.449999999999992,-0.009273989280414591,-0.2889924356092446,0.2982664248896593,0,0,0,0
2.459999999999992,-0.01214914964014674,-0.286009990945587,0.2981591405857337,0,0,0,0
2.469999999999991,-0.01499449134227241,-0.2830287639302936,0.2980232552725661,0,0,0,0
2.479999999999991,-0.01781002797419755,-0.2800490390962897,0.2978590670704873,0,0,0,0
2.489999999999991,-0.02059577595390134,-0.2770710979957334,0.2976668739496347,0,0,0,0
2.499999999999991,-0.02335175450013638,-0.2740952192016607,0.2974469737017971,0,0,0,0
2.50999999999999,-0.02607798560264677,-0.271121678309911,0.2971996639125578,0,0,0,0
2.51999999999999,-0.02877449399240684,-0.2681507479413269,0.2969252419337337,0,0,0,0
2.52999999999999,-0.03144130711188319,-0.2651826977442323,0.2966240048561155,0,0,0,0
2.53999999999999,-0.0340784550853229,-0.2622177943971773,0.2962962494825002,0,0,0,0
2.54999999999999,-0.03668597068907045,-0.2592563016119553,0.2959422723010258,0,0,0,0
2.559999999999989,-0.03926388932191624,-0.2562984801368809,0.2955623694587972,0,0,0,0
2.569999999999989,-0.04181224897547903,-0.2533445877603361,0.2951568367358151,0,0,0,0
2.579999999999989,-0.04433109020462527,-0.2503948793145676,0.2947259695191928,0,0,0,0
2.589999999999989,-0.04682045609792771,-0.247449606679749,0.2942700627776768,0,0,0,0
2.599999999999989,-0.04928039224816557,-0.24450901878829,0.2937894110364556,0,0,0,0
2.609999999999988,-0.05171094672286952,-0.2415733616293998,0.2932843083522693,0,0,0,0
2.619999999999988,-0.05411217003491312,-0.238642878253895,0.2927550482888081,0,0,0,0
2.629999999999988,-0.05648411511315377,-0.2357178087792554,0.2922019238924092,0,0,0,0
2.639999999999988,-0.05882683727312537,-0.2327983903949179,0.2916252276680432,0,0,0,0
2.649999999999987,-0.06114039418778506,-0.2298848573678118,0.2910252515555969,0,0,0,0
2.659999999999987,-0.06342484585831652,-0.2269774410481286,0.2904022869064451,0,0,0,0
2.669999999999987,-0.06568025458499202,-0.2240763698753242,0.2897566244603162,0,0,0,0
2.679999999999987,-0.06790668493809594,-0.2211818693843524,0.2890885543224484,0,0,0,0
2.689999999999987,-0.07010420372891142,-0.2182941622121242,0.2883983659410356,0,0,0,0
2.699999999999986,-0.07227287998077274,-0.2154134681041915,0.2876863480849642,0,0,0,0
2.709999999999986,-0.07441278490018578,-0.212540003921652,0.2869527888218377,0,0,0,0
2.719999999999986,-0.07652399184801864,-0.209673983648273,0.2861979754962916,0,0,0,0
2.729999999999986,-0.07860657631076438,-0.2068156183978297,0.285422194708594,0,0,0,0
2.739999999999986,-0.08066061587187848,-0.2039651164216562,0.2846257322935347,0,0,0,0
2.749999999999985,-0.08268619018319229,-0.2011226831164073,0.2838088732995996,0,0,0,0
